s.no,Institute,Subject,Location,Trainer_Qualification,Online_classes,Offline_classes,Course_level,Placements,Certificate,Trainer_experiance,Course_hours,Course_rating,Rental_permises,Trainer_slary,Maintaince_cost,Non_teaching_staff_salary,Price
1,Datatrain,ProjectManagement,Delhi,Doctorate,Yes,Yes,advanced,Yes,Yes,19,192,5,145,722,140,205,1419
2,Datatrain,DataScience,Hyderabad,Graduate,Yes,no,advanced,No,Yes,9,94,2,68,454,70,116,746
3,Guvi,python,Chennai,UnderGraduate,no,no,advanced,Yes,Yes,15,154,4,112,641,118,179,1121
4,innomatics,DigitalTransformation,Ahmedabad,Doctorate,Yes,Yes,intermediate,No,Yes,18,182,5,130,729,132,108,1341
5,Datatrain,DigitalTransformation,Pune,UnderGraduate,Yes,Yes,advanced,No,Yes,6,75,2,43,349,45,88,512
6,Datatrain,python,Ahmedabad,UnderGraduate,no,Yes,beginer,Yes,Yes,11,115,3,84,510,80,135,879
7,360DigiTMG,BigData,Pune,UnderGraduate,no,no,beginer,Yes,Yes,6,63,2,37,297,40,76,429
8,Edureka,ArtificialIntelligence,Kanpour,Doctorate,no,Yes,advanced,Yes,Yes,6,70,2,42,315,46,80,481
9,Udemy,BigData,Bengaluru,Doctorate,no,no,beginer,Yes,Yes,6,78,2,51,356,51,95,618
10,Coursera,Dataanalysis,Kanpour,Graduate,Yes,Yes,advanced,Yes,Yes,6,67,2,39,310,43,78,463
11,Edvancer,FullstackDataScience,Bengaluru,UnderGraduate,Yes,Yes,beginer,Yes,Yes,6,77,2,49,354,50,94,597
12,360DigiTMG,DataScience,Ahmedabad,UnderGraduate,no,Yes,beginer,No,Yes,1,41,1,16,217,20,53,322
13,Coursera,FullstackDataScience,Kanpour,UnderGraduate,no,no,beginer,No,Yes,15,160,4,115,642,115,178,1133
14,Simple_learn,DigitalTransformation,Delhi,Graduate,Yes,Yes,beginer,No,Yes,1,40,1,16,210,16,51,320
15,Great_Learn,ArtificialIntelligence,Bengaluru,Doctorate,no,Yes,beginer,Yes,Yes,6,85,3,59,409,58,106,679
16,Simple_learn,CloudComputing,Chennai,Graduate,Yes,no,beginer,Yes,Yes,1,44,1,17,211,16,50,318
17,innomatics,ProjectManagement,Ahmedabad,Doctorate,Yes,no,intermediate,No,Yes,12,126,3,90,524,93,145,932
18,Coursera,BigData,Chennai,UnderGraduate,no,Yes,intermediate,Yes,Yes,11,117,3,83,511,81,136,871
19,innomatics,python,Mumbai,Graduate,no,Yes,intermediate,Yes,Yes,7,87,2,59,455,63,101,683
20,Edureka,DigitalTransformation,Bengaluru,Graduate,no,no,intermediate,No,Yes,2,48,1,16,232,16,59,324
21,innomatics,Dataanalysis,Calcutta,Doctorate,no,Yes,intermediate,Yes,Yes,4,62,1,39,286,33,72,727
22,Upgrad,FullstackDataScience,Kanpour,UnderGraduate,Yes,Yes,intermediate,No,Yes,5,69,2,42,301,37,75,761
23,Datatrain,ProjectManagement,Pune,Graduate,Yes,Yes,intermediate,No,Yes,12,127,3,88,520,85,141,959
24,Edvancer,DigitalTransformation,Ahmedabad,UnderGraduate,no,no,advanced,No,Yes,10,115,3,78,486,80,135,827
25,Data_camp,ArtificialIntelligence,Chennai,Doctorate,no,no,beginer,No,Yes,11,118,3,85,511,83,137,882
26,Coursera,ArtificialIntelligence,Calcutta,Graduate,Yes,Yes,beginer,No,Yes,12,127,3,93,550,86,140,916
27,Edvancer,DataScience,Chennai,Doctorate,no,no,advanced,No,Yes,5,65,2,37,298,39,79,458
28,360DigiTMG,DigitalMarketing,Bengaluru,Graduate,Yes,no,advanced,Yes,Yes,4,62,2,34,280,35,75,428
29,Guvi,FullstackDataScience,Kanpour,Graduate,no,no,beginer,Yes,Yes,9,104,3,72,443,74,117,741
30,Edvancer,python,Calcutta,Graduate,Yes,no,intermediate,Yes,Yes,15,155,4,114,640,115,176,1127
31,Datatrain,DataScience,Chennai,Graduate,Yes,Yes,advanced,Yes,Yes,10,98,2,43,300,75,127,799
32,innomatics,DataScience,Ahmedabad,UnderGraduate,Yes,no,beginer,Yes,Yes,12,122,3,87,535,86,141,933
33,ExcelR,CloudComputing,Delhi,Graduate,Yes,Yes,advanced,Yes,Yes,13,127,3,89,540,87,142,948
34,Data_camp,DigitalTransformation,Delhi,Doctorate,Yes,Yes,beginer,Yes,Yes,9,95,2,61,450,62,104,707
35,Udemy,DigitalMarketing,Delhi,Graduate,no,no,intermediate,No,Yes,5,72,2,47,342,48,92,557
